source	target	mor
FOSB_JUND	CTNNB1	1
FOSB_JUN	CTNNB1	1
JUN_JUNB	CTNNB1	1
FOS_JUND	CTNNB1	1
RELA	CTNNB1	1
NFKB1	CTNNB1	1
RELA_RELB	CTNNB1	1
NFKB2_RELA	CTNNB1	1
NFKB1_RELB	CTNNB1	1
REL_RELA	CTNNB1	1
NFKB1_NFKB2	CTNNB1	1
NFKB1_REL	CTNNB1	1
NFKB2_RELB	CTNNB1	1
RELB	CTNNB1	1
NFKB1_RELA	CTNNB1	1
NFKB2	CTNNB1	1
NFKB2_REL	CTNNB1	1
REL_RELB	CTNNB1	1
REL	CTNNB1	1
FOSL1_JUNB	GPRC5A	1
FOS_JUN	GPRC5A	1
FOS_JUNB	GPRC5A	1
FOSL2_JUND	GPRC5A	1
FOSL2_JUN	GPRC5A	1
FOSB_JUNB	GPRC5A	1
JUNB	GPRC5A	1
FOSL2_JUNB	GPRC5A	1
JUND	GPRC5A	1
JUN_JUND	GPRC5A	1
JUNB_JUND	GPRC5A	1
FOSL1_JUND	GPRC5A	1
FOSL1_JUN	GPRC5A	1
FOSB_JUND	GPRC5A	1
FOSB_JUN	GPRC5A	1
JUN_JUNB	GPRC5A	1
FOS_JUND	GPRC5A	1
RELA	CRH	1
NFKB1	CRH	1
RELA_RELB	CRH	1
NFKB2_RELA	CRH	1
NFKB1_RELB	CRH	1
REL_RELA	CRH	1
NFKB1_NFKB2	CRH	1
NFKB1_REL	CRH	1
NFKB2_RELB	CRH	1
NFKB1_RELA	CRH	1
NFKB2_REL	CRH	1
REL_RELB	CRH	1
REL	CRH	1
RELA_RELB	KLK3	1
